method,budget_bytes,noise_level,seed,five_task_accuracy
learned,64,0,27001,0.2102
learned,64,0,27002,0.2090
learned,64,0,27003,0.2098
learned,64,2,27001,0.2102
learned,64,2,27002,0.2104
learned,64,2,27003,0.2112
learned,256,0,27001,0.2064
learned,256,0,27002,0.2062
learned,256,0,27003,0.2094
learned,256,2,27001,0.2064
learned,256,2,27002,0.2054
learned,256,2,27003,0.2092
learned,1024,0,27001,0.2170
learned,1024,0,27002,0.2104
learned,1024,0,27003,0.2250
learned,1024,2,27001,0.2170
learned,1024,2,27002,0.2050
learned,1024,2,27003,0.2250
compressed_recent,64,0,27001,0.6728
compressed_recent,64,0,27002,0.6690
compressed_recent,64,0,27003,0.6678
compressed_recent,64,2,27001,0.2078
compressed_recent,64,2,27002,0.2090
compressed_recent,64,2,27003,0.2088
compressed_recent,256,0,27001,0.9964
compressed_recent,256,0,27002,0.9978
compressed_recent,256,0,27003,0.9982
compressed_recent,256,2,27001,0.2092
compressed_recent,256,2,27002,0.2084
compressed_recent,256,2,27003,0.2078
compressed_recent,1024,0,27001,0.9974
compressed_recent,1024,0,27002,0.9974
compressed_recent,1024,0,27003,0.9976
compressed_recent,1024,2,27001,0.2650
compressed_recent,1024,2,27002,0.2658
compressed_recent,1024,2,27003,0.2684
compressed_diverse,64,0,27001,0.6220
compressed_diverse,64,0,27002,0.6224
compressed_diverse,64,0,27003,0.6252
compressed_diverse,64,2,27001,0.2050
compressed_diverse,64,2,27002,0.2102
compressed_diverse,64,2,27003,0.2064
compressed_diverse,256,0,27001,0.9932
compressed_diverse,256,0,27002,0.9932
compressed_diverse,256,0,27003,0.9932
compressed_diverse,256,2,27001,0.2074
compressed_diverse,256,2,27002,0.2072
compressed_diverse,256,2,27003,0.2048
compressed_diverse,1024,0,27001,0.9974
compressed_diverse,1024,0,27002,0.9974
compressed_diverse,1024,0,27003,0.9976
compressed_diverse,1024,2,27001,0.2468
compressed_diverse,1024,2,27002,0.2472
compressed_diverse,1024,2,27003,0.2444
dictionary_recent,64,0,27001,0.9964
dictionary_recent,64,0,27002,0.9978
dictionary_recent,64,0,27003,0.9982
dictionary_recent,64,2,27001,0.2072
dictionary_recent,64,2,27002,0.2080
dictionary_recent,64,2,27003,0.2074
dictionary_recent,256,0,27001,0.9974
dictionary_recent,256,0,27002,0.9974
dictionary_recent,256,0,27003,0.9976
dictionary_recent,256,2,27001,0.2070
dictionary_recent,256,2,27002,0.2098
dictionary_recent,256,2,27003,0.2070
dictionary_recent,1024,0,27001,0.9974
dictionary_recent,1024,0,27002,0.9974
dictionary_recent,1024,0,27003,0.9976
dictionary_recent,1024,2,27001,0.2500
dictionary_recent,1024,2,27002,0.2524
dictionary_recent,1024,2,27003,0.2516
