writer_seed,arm,metric,accuracy
4101,control,correction,0.869141
4102,control,correction,0.952474
4103,control,correction,0.488281
4104,control,correction,0.906250
4105,control,correction,0.488281
4106,control,correction,0.488281
4107,control,correction,0.911458
4108,control,correction,0.849609
4109,control,correction,0.903646
4110,control,correction,0.488281
4111,control,correction,0.488281
4112,control,correction,0.909505
4101,control,retention,0.809896
4102,control,retention,0.899957
4103,control,retention,0.511719
4104,control,retention,0.862196
4105,control,retention,0.511936
4106,control,retention,0.513889
4107,control,retention,0.869141
4108,control,retention,0.820312
4109,control,retention,0.640625
4110,control,retention,0.511719
4111,control,retention,0.514974
4112,control,retention,0.869141
4101,normalized,correction,0.978516
4102,normalized,correction,0.991536
4103,normalized,correction,0.958984
4104,normalized,correction,0.932292
4105,normalized,correction,0.990234
4106,normalized,correction,0.992839
4107,normalized,correction,0.958984
4108,normalized,correction,0.901693
4109,normalized,correction,0.996094
4110,normalized,correction,0.988932
4111,normalized,correction,0.906901
4112,normalized,correction,0.908203
4101,normalized,retention,0.944661
4102,normalized,retention,0.967014
4103,normalized,retention,0.920356
4104,normalized,retention,0.889540
4105,normalized,retention,0.940538
4106,normalized,retention,0.960503
4107,normalized,retention,0.912977
4108,normalized,retention,0.904731
4109,normalized,retention,0.963976
4110,normalized,retention,0.946181
4111,normalized,retention,0.916667
4112,normalized,retention,0.844618
